instance_id,question_id,db_id,difficulty
minidev0000,1471,debit_card_specializing,simple
minidev0001,1472,debit_card_specializing,moderate
minidev0002,1473,debit_card_specializing,moderate
minidev0003,1476,debit_card_specializing,challenging
minidev0004,1479,debit_card_specializing,moderate
minidev0005,1480,debit_card_specializing,moderate
minidev0006,1481,debit_card_specializing,challenging
minidev0007,1482,debit_card_specializing,challenging
minidev0008,1483,debit_card_specializing,simple
minidev0009,1484,debit_card_specializing,simple
minidev0010,1486,debit_card_specializing,simple
minidev0011,1490,debit_card_specializing,moderate
minidev0012,1493,debit_card_specializing,simple
minidev0013,1498,debit_card_specializing,simple
minidev0014,1500,debit_card_specializing,simple
minidev0015,1501,debit_card_specializing,moderate
minidev0016,1505,debit_card_specializing,simple
minidev0017,1506,debit_card_specializing,moderate
minidev0018,1507,debit_card_specializing,simple
minidev0019,1509,debit_card_specializing,moderate
minidev0020,1514,debit_card_specializing,simple
minidev0021,1515,debit_card_specializing,simple
minidev0022,1521,debit_card_specializing,moderate
minidev0023,1524,debit_card_specializing,simple
minidev0024,1525,debit_card_specializing,simple
minidev0025,1526,debit_card_specializing,challenging
minidev0026,1528,debit_card_specializing,simple
minidev0027,1529,debit_card_specializing,moderate
minidev0028,1531,debit_card_specializing,moderate
minidev0029,1533,debit_card_specializing,moderate
minidev0030,1312,student_club,simple
minidev0031,1317,student_club,moderate
minidev0032,1322,student_club,moderate
minidev0033,1323,student_club,moderate
minidev0034,1331,student_club,simple
minidev0035,1334,student_club,simple
minidev0036,1338,student_club,moderate
minidev0037,1339,student_club,challenging
minidev0038,1340,student_club,moderate
minidev0039,1344,student_club,simple
minidev0040,1346,student_club,simple
minidev0041,1350,student_club,moderate
minidev0042,1351,student_club,simple
minidev0043,1352,student_club,moderate
minidev0044,1356,student_club,simple
minidev0045,1357,student_club,simple
minidev0046,1359,student_club,challenging
minidev0047,1361,student_club,simple
minidev0048,1362,student_club,simple
minidev0049,1368,student_club,simple
minidev0050,1371,student_club,simple
minidev0051,1375,student_club,moderate
minidev0052,1376,student_club,moderate
minidev0053,1378,student_club,simple
minidev0054,1380,student_club,simple
minidev0055,1381,student_club,moderate
minidev0056,1387,student_club,moderate
minidev0057,1389,student_club,simple
minidev0058,1390,student_club,moderate
minidev0059,1392,student_club,simple
minidev0060,1394,student_club,simple
minidev0061,1398,student_club,moderate
minidev0062,1399,student_club,moderate
minidev0063,1401,student_club,moderate
minidev0064,1403,student_club,moderate
minidev0065,1404,student_club,moderate
minidev0066,1405,student_club,moderate
minidev0067,1409,student_club,simple
minidev0068,1410,student_club,simple
minidev0069,1411,student_club,simple
minidev0070,1422,student_club,simple
minidev0071,1426,student_club,moderate
minidev0072,1427,student_club,moderate
minidev0073,1432,student_club,moderate
minidev0074,1435,student_club,moderate
minidev0075,1457,student_club,challenging
minidev0076,1460,student_club,challenging
minidev0077,1464,student_club,challenging
minidev0078,1149,thrombosis_prediction,moderate
minidev0079,1150,thrombosis_prediction,moderate
minidev0080,1152,thrombosis_prediction,moderate
minidev0081,1153,thrombosis_prediction,simple
minidev0082,1155,thrombosis_prediction,simple
minidev0083,1156,thrombosis_prediction,moderate
minidev0084,1157,thrombosis_prediction,simple
minidev0085,1162,thrombosis_prediction,moderate
minidev0086,1164,thrombosis_prediction,moderate
minidev0087,1166,thrombosis_prediction,simple
minidev0088,1168,thrombosis_prediction,challenging
minidev0089,1169,thrombosis_prediction,challenging
minidev0090,1171,thrombosis_prediction,challenging
minidev0091,1175,thrombosis_prediction,moderate
minidev0092,1179,thrombosis_prediction,moderate
minidev0093,1185,thrombosis_prediction,challenging
minidev0094,1187,thrombosis_prediction,moderate
minidev0095,1189,thrombosis_prediction,challenging
minidev0096,1192,thrombosis_prediction,challenging
minidev0097,1195,thrombosis_prediction,moderate
minidev0098,1198,thrombosis_prediction,simple
minidev0099,1201,thrombosis_prediction,moderate
minidev0100,1205,thrombosis_prediction,moderate
minidev0101,1208,thrombosis_prediction,moderate
minidev0102,1209,thrombosis_prediction,moderate
